code,name,channel,model,n,pearson,spearman,change_r,first30_r,last30_r
RDS,Ribera de Sió,VWC_005,idw_simple_hg,60,,,,,
RDS,Ribera de Sió,VWC_005,idw_simple_pm,60,,,,,
RDS,Ribera de Sió,VWC_005,idw_regulated_hg,60,-0.037524174580669895,-0.3119564312521618,-0.168066633020308,-0.5995381611360591,0.6400154790092316
RDS,Ribera de Sió,VWC_005,idw_regulated_pm,60,-0.049709909011957334,-0.31334574465401527,-0.15712317692686556,-0.6040375699913021,0.6431194314689798
RDS,Ribera de Sió,VWC_005,gauge_recent_simple_hg,60,,,,,
RDS,Ribera de Sió,VWC_005,gauge_recent_simple_pm,60,,,,,
RDS,Ribera de Sió,VWC_005,gauge_recent_regulated_hg,60,-0.12151857027990506,-0.3976214956104423,-0.19787062640001235,-0.33467973174823684,0.7181398479407435
RDS,Ribera de Sió,VWC_005,gauge_recent_regulated_pm,60,-0.13700757317395917,-0.40584623094941447,-0.1854338966516316,-0.35795462132604794,0.7230990580226949
RDS,Ribera de Sió,VWC_020,idw_simple_hg,60,,,,,
RDS,Ribera de Sió,VWC_020,idw_simple_pm,60,,,,,
RDS,Ribera de Sió,VWC_020,idw_regulated_hg,60,-0.18004864565849665,-0.3460827767430858,-0.03054310381544666,-0.6982713040375379,0.7534980395767652
RDS,Ribera de Sió,VWC_020,idw_regulated_pm,60,-0.1953215562109033,-0.34825013576243224,-0.02701678672697369,-0.7081629412076679,0.7598069226991964
RDS,Ribera de Sió,VWC_020,gauge_recent_simple_hg,60,,,,,
RDS,Ribera de Sió,VWC_020,gauge_recent_simple_pm,60,,,,,
RDS,Ribera de Sió,VWC_020,gauge_recent_regulated_hg,60,-0.37203541763816594,-0.49243508385716306,-0.04064623542925351,-0.5627584349854473,0.7025167525306406
RDS,Ribera de Sió,VWC_020,gauge_recent_regulated_pm,60,-0.3908737925650984,-0.5002709203117235,-0.03812423849899398,-0.6005860762049757,0.7078832299502287
RDS,Ribera de Sió,VWC_050,idw_simple_hg,60,,,,,
RDS,Ribera de Sió,VWC_050,idw_simple_pm,60,,,,,
RDS,Ribera de Sió,VWC_050,idw_regulated_hg,60,0.0626200871098471,-0.32932667921210557,0.051764160581299644,-0.6794380780859628,0.8413787675644343
RDS,Ribera de Sió,VWC_050,idw_regulated_pm,60,0.049668060356040405,-0.3328884717713915,0.05275079950331407,-0.68711948273698,0.8475260132707956
RDS,Ribera de Sió,VWC_050,gauge_recent_simple_hg,60,,,,,
RDS,Ribera de Sió,VWC_050,gauge_recent_simple_pm,60,,,,,
RDS,Ribera de Sió,VWC_050,gauge_recent_regulated_hg,60,-0.22329431760368343,-0.46626090721402963,0.20478026142723058,-0.5012550360722081,0.7334086533362475
RDS,Ribera de Sió,VWC_050,gauge_recent_regulated_pm,60,-0.23817986659725815,-0.4759445307345884,0.2035622733039021,-0.5408274153025334,0.7377624181348108
CDLP,Clot de Les Peres,VWC_005,idw_simple_hg,15,,,,,
CDLP,Clot de Les Peres,VWC_005,idw_simple_pm,15,,,,,
CDLP,Clot de Les Peres,VWC_005,idw_regulated_hg,15,,,,,
CDLP,Clot de Les Peres,VWC_005,idw_regulated_pm,15,,,,,
CDLP,Clot de Les Peres,VWC_005,gauge_recent_simple_hg,15,,,,,
CDLP,Clot de Les Peres,VWC_005,gauge_recent_simple_pm,15,,,,,
CDLP,Clot de Les Peres,VWC_005,gauge_recent_regulated_hg,15,,,,,
CDLP,Clot de Les Peres,VWC_005,gauge_recent_regulated_pm,15,,,,,
CDLP,Clot de Les Peres,VWC_020,idw_simple_hg,60,0.254251302719689,0.29971064559126426,0.2778320981780155,,0.17673848109798757
CDLP,Clot de Les Peres,VWC_020,idw_simple_pm,60,0.2768723611900641,0.29971064559126426,0.3248512616958643,,0.20598850099109467
CDLP,Clot de Les Peres,VWC_020,idw_regulated_hg,60,0.45670852117513017,0.08152264517921647,0.4306621759684926,-0.8118057940264974,0.5026616559834329
CDLP,Clot de Les Peres,VWC_020,idw_regulated_pm,60,0.42233995912870265,0.04384551264240068,0.44283835555007317,-0.8092995850445881,0.4947960957256596
CDLP,Clot de Les Peres,VWC_020,gauge_recent_simple_hg,60,0.5094868443092886,0.42328791997201104,0.50003943269772,-0.18304232116020006,0.47591259076375503
CDLP,Clot de Les Peres,VWC_020,gauge_recent_simple_pm,60,0.502046360880301,0.37269805816600776,0.5136587872166716,-0.18304232116020006,0.4702032470469443
CDLP,Clot de Les Peres,VWC_020,gauge_recent_regulated_hg,60,0.7111250270567371,0.38971936649069194,0.5117133803270413,-0.690463778435137,0.6487986855647534
CDLP,Clot de Les Peres,VWC_020,gauge_recent_regulated_pm,60,0.6896951013232651,0.35693248124479027,0.5215377374369683,-0.690657764029396,0.6382876511212798
CDLP,Clot de Les Peres,VWC_050,idw_simple_hg,60,-0.202187213261622,-0.18950776216079937,0.11478767952278479,,-0.3142427589898998
CDLP,Clot de Les Peres,VWC_050,idw_simple_pm,60,-0.19904296686448542,-0.18950776216079937,0.15235888128129366,,-0.31360513609563745
CDLP,Clot de Les Peres,VWC_050,idw_regulated_hg,60,-0.390337890386498,-0.5015282022784109,0.19875315568759516,-0.4979125842790275,-0.5686549822875612
CDLP,Clot de Les Peres,VWC_050,idw_regulated_pm,60,-0.410629448504922,-0.5293136982495139,0.2082020515193781,-0.4854608821627504,-0.5747205722170521
CDLP,Clot de Les Peres,VWC_050,gauge_recent_simple_hg,60,-0.19144499290550102,-0.261421791703634,0.2549691252564432,-0.0430521747434722,-0.3527681385873286
CDLP,Clot de Les Peres,VWC_050,gauge_recent_simple_pm,60,-0.19020249667445174,-0.2645468431057996,0.26771575832281924,-0.0430521747434722,-0.3483299939669432
CDLP,Clot de Les Peres,VWC_050,gauge_recent_regulated_hg,60,-0.22098965577729868,-0.2539594331758822,0.24720381406250325,-0.7918657858362241,-0.4013861652540598
CDLP,Clot de Les Peres,VWC_050,gauge_recent_regulated_pm,60,-0.2423043459664907,-0.2949708252292304,0.25435639893158785,-0.7811329620329788,-0.4128799910898714
SCA,Serra de Costa Ampla,VWC_005,idw_simple_hg,60,0.025059270995290997,0.1660890732279204,-0.20751159038329225,,-0.07629405008635767
SCA,Serra de Costa Ampla,VWC_005,idw_simple_pm,60,-0.007489599313421982,0.10665474422422958,-0.22217660195827404,,-0.10835388309628813
SCA,Serra de Costa Ampla,VWC_005,idw_regulated_hg,60,0.3476101400274263,0.21961961129670574,-0.16985443449491536,-0.6535403754763189,0.3321080307480566
SCA,Serra de Costa Ampla,VWC_005,idw_regulated_pm,60,0.31847235574081456,0.2023367926951684,-0.18113533871582144,-0.6504092449993559,0.299313607310229
SCA,Serra de Costa Ampla,VWC_005,gauge_recent_simple_hg,60,0.20119989274591582,0.16799740780199046,-0.12254074569902255,,0.09471138782865755
SCA,Serra de Costa Ampla,VWC_005,gauge_recent_simple_pm,60,0.16322834664850341,0.22579955392899598,-0.13561580146969904,,0.055667436017131165
