code,et,channel,n,r,rho
RDS,hg,VWC_005,60,,
RDS,pm,VWC_005,60,,
RDS,hg,VWC_020,60,,
RDS,pm,VWC_020,60,,
CDLP,hg,VWC_005,15,,
CDLP,pm,VWC_005,15,,
CDLP,hg,VWC_020,60,0.2542512909344563,0.29971064559126426
CDLP,pm,VWC_020,60,0.2768723555795882,0.29971064559126426
SCA,hg,VWC_005,60,0.025059277432257922,0.1660890732279204
SCA,pm,VWC_005,60,-0.007489598869236346,0.10665474422422958
SCA,hg,VWC_020,60,0.4670170192150463,0.4873796326212626
SCA,pm,VWC_020,60,0.4343465373318808,0.4406463943438007
CMN,hg,VWC_005,60,-0.12426195692092709,-0.1667802928403829
CMN,pm,VWC_005,60,-0.13630968105497207,-0.2268557689234492
CMN,hg,VWC_020,60,-0.1109865509487824,-0.15862738860317133
CMN,pm,VWC_020,60,-0.1332346007124085,-0.19766790045848695
EBX,hg,VWC_005,60,0.6652459548475335,0.7211385122406039
EBX,pm,VWC_005,60,0.6621720723561473,0.7165656246380863
EBX,hg,VWC_020,60,0.3054885378718435,0.3241811960825438
EBX,pm,VWC_020,60,0.29860972094940486,0.3139799973994146
LCS,hg,VWC_005,60,0.014792132311327463,0.08038424215358587
LCS,pm,VWC_005,60,0.011709707201069897,0.08038424215358587
LCS,hg,VWC_020,60,0.12449551998969638,0.2928104734219364
LCS,pm,VWC_020,60,0.11811714709127155,0.2928104734219364
PSN,hg,VWC_005,58,0.6121287362146803,0.4094028726798498
PSN,pm,VWC_005,58,0.6050356590243592,0.3662353302688843
PSN,hg,VWC_020,58,0.5340487983480718,0.45291379335067483
PSN,pm,VWC_020,58,0.5213029432073694,0.4035275132233826
BDS,hg,VWC_005,60,0.3123870413593878,0.36406106492551893
BDS,pm,VWC_005,60,0.4851738848602618,0.5632357921361784
BDS,hg,VWC_020,60,0.4069526515450632,0.4003998690598914
BDS,pm,VWC_020,60,0.5777644112925009,0.5705241593962925
CDPA,hg,VWC_005,56,-0.23141818308049267,-0.2191409725152798
CDPA,pm,VWC_005,56,-0.20289878989115306,-0.21818922019165204
CDPA,hg,VWC_020,56,0.2177585966256908,0.3045451294651622
CDPA,pm,VWC_020,56,0.19468842981830503,0.2984780194640984
LCDA,hg,VWC_005,60,0.5387912221042879,0.6484083567129522
LCDA,pm,VWC_005,60,0.6271086625462949,0.7898566792951777
LCDA,hg,VWC_020,60,0.5297482718757186,0.645858443081338
LCDA,pm,VWC_020,60,0.6103060466922068,0.7919700337323705
EML,hg,VWC_005,60,-0.1548988323396024,-0.0008488106893404097
EML,pm,VWC_005,60,-0.12951180843657706,-0.0008488106893404097
EML,hg,VWC_020,60,0.1339879765388917,0.17780844354432793
EML,pm,VWC_020,60,0.13799960507360062,0.17780844354432793
BCLL,hg,VWC_005,55,0.35172840377482656,0.533856499104004
BCLL,pm,VWC_005,55,0.5066124492817426,0.6271233354397666
BCLL,hg,VWC_020,55,0.2941514058822686,0.44981529953023036
BCLL,pm,VWC_020,55,0.42966529303032475,0.5554812364249835
LLA,hg,VWC_005,60,0.3706742005282383,0.4675871334609161
LLA,pm,VWC_005,60,0.4378487923286726,0.4628433969441021
LLA,hg,VWC_020,60,0.393244636325581,0.44177557649472815
LLA,pm,VWC_020,60,0.44374041472934456,0.4616084839552066
CLLA,hg,VWC_005,51,0.6015410553959354,0.48397255953378965
CLLA,pm,VWC_005,51,0.61439418228811,0.5106544310176744
CLLA,hg,VWC_020,51,0.9276326169789719,0.6450180226753237
CLLA,pm,VWC_020,51,0.9333073050667897,0.6658398374358869
CLLP,hg,VWC_005,60,-0.20638646973533786,-0.22130086524554102
CLLP,pm,VWC_005,60,-0.1441114493652608,-0.22130086524554102
CLLP,hg,VWC_020,60,-0.17713843660623774,-0.21689264648661818
CLLP,pm,VWC_020,60,-0.12435248939898635,-0.21689264648661818
BOLV,hg,VWC_005,60,0.8364316044026879,0.7956892680457481
BOLV,pm,VWC_005,60,0.9070211632397992,0.8466902352212792
BOLV,hg,VWC_020,33,0.774360525265606,0.83157540169266
BOLV,pm,VWC_020,33,0.8295881399599028,0.8385186491064197
GGUE,hg,VWC_005,60,0.49464993396099854,0.43837940041856743
GGUE,pm,VWC_005,60,0.5205182996869533,0.4047027601524027
GGUE,hg,VWC_020,60,0.07070613762609604,0.20339507007442306
GGUE,pm,VWC_020,60,0.10188873014178972,0.21226612682017865
AGDS,hg,VWC_005,60,-0.26903322769315474,-0.5719401771649014
AGDS,pm,VWC_005,60,-0.2826114897477192,-0.5304472804258438
AGDS,hg,VWC_020,60,0.11033600746252895,0.09354533505329526
AGDS,pm,VWC_020,60,0.1109326154564503,0.09778007146272763
TDLL,hg,VWC_005,60,0.5135552079252479,0.41152670296229193
TDLL,pm,VWC_005,60,0.5723709331104738,0.4511873654182965
TDLL,hg,VWC_020,60,-0.05185081065777539,0.13303960503877238
TDLL,pm,VWC_020,60,-0.008699882239464198,0.18421612687687047
PDCE,hg,VWC_005,60,-0.1033253315324162,-0.13907769672860146
PDCE,pm,VWC_005,60,,
PDCE,hg,VWC_020,60,-0.04785746824617577,-0.03383018003861546
PDCE,pm,VWC_020,60,,
VIL,hg,VWC_005,60,,
VIL,pm,VWC_005,60,,
VIL,hg,VWC_020,60,,
VIL,pm,VWC_020,60,,
MDF,hg,VWC_005,60,0.8105529636956055,0.735901253871901
MDF,pm,VWC_005,60,0.8489654884956297,0.7777782251035283
MDF,hg,VWC_020,60,-0.026997362118326894,0.11524995359332703
MDF,pm,VWC_020,60,0.06982720647632833,0.21484527457669875
