code,name,forcing,et,scenario,channel,target,n,r,rho,reference_r,delta_r,change_n,change_r,reference_change_r,first30_r,last30_r,candidate_span_pp,reference_span_pp,observed_span_m3_m3,initial_dry_r,initial_wet_r,initial_dry_span_pp,initial_wet_span_pp
RDS,Ribera de Sió,idw,hg,control,VWC_005,upper,60,-0.03752417458066988,-0.3119564312521618,-0.037524174580669895,1.3877787807814457e-17,59,-0.16806663302030805,-0.168066633020308,-0.5995381611360591,0.6400154790092315,11.447536911448754,11.447536911448756,0.01087500000000001,-0.03752417458066988,-0.03752417458066988,11.447536911448754,11.447536911448754
RDS,Ribera de Sió,idw,hg,control,VWC_005,total,60,-0.03752417458066991,-0.3119564312521618,-0.037524174580669895,-1.3877787807814457e-17,59,-0.168066633020308,-0.168066633020308,-0.5995381611360591,0.6400154790092316,11.447536911448756,11.447536911448756,0.01087500000000001,-0.03752417458066991,-0.03752417458066991,11.447536911448756,11.447536911448756
RDS,Ribera de Sió,idw,hg,control,VWC_020,lower,60,-0.18004864565849668,-0.3460827767430858,-0.18004864565849665,-2.7755575615628914e-17,59,-0.030543103815446632,-0.03054310381544666,-0.6982713040375379,0.7534980395767652,11.447536911448756,11.447536911448756,0.027749999999999997,-0.18004864565849668,-0.18004864565849668,11.447536911448756,11.447536911448756
RDS,Ribera de Sió,idw,hg,control,VWC_020,total,60,-0.18004864565849668,-0.3460827767430858,-0.18004864565849665,-2.7755575615628914e-17,59,-0.03054310381544667,-0.03054310381544666,-0.6982713040375379,0.7534980395767652,11.447536911448756,11.447536911448756,0.027749999999999997,-0.18004864565849668,-0.18004864565849668,11.447536911448756,11.447536911448756
RDS,Ribera de Sió,idw,hg,control,VWC_050,total,60,0.06262008710984708,-0.32932667921210557,0.0626200871098471,-1.3877787807814457e-17,59,0.05176416058129961,0.051764160581299644,-0.6794380780859628,0.8413787675644342,11.447536911448756,11.447536911448756,0.010020833333333312,0.06262008710984708,0.06262008710984708,11.447536911448756,11.447536911448756
RDS,Ribera de Sió,idw,hg,cascade,VWC_005,upper,60,-0.03752417296113437,-0.3119564312521618,-0.037524174580669895,1.619535526520277e-09,59,-0.16806663288802481,-0.168066633020308,-0.5995381590994511,0.6400154790086382,34.34261073098895,11.447536911448756,0.01087500000000001,-0.03752417296113437,-0.03752417296113437,34.34261073098895,34.34261073098895
RDS,Ribera de Sió,idw,hg,cascade,VWC_005,total,60,-0.037524172941888506,-0.3119564312521618,-0.037524174580669895,1.6387813883689262e-09,59,-0.1680666328864529,-0.168066633020308,-0.5995381590752489,0.640015479008631,11.447536910316353,11.447536911448756,0.01087500000000001,-0.037524172941888506,-0.037524172941888506,11.447536910316353,11.447536910316353
RDS,Ribera de Sió,idw,hg,cascade,VWC_020,lower,60,0.666075234643084,0.9786181705431345,-0.18004864565849665,0.8461238803015807,59,0.12541755983718259,-0.03054310381544666,0.8490898483659757,0.7616202553522577,7.214572101378781e-10,11.447536911448756,0.027749999999999997,0.666075234643084,0.666075234643084,7.214572101378781e-10,7.214572101378781e-10
RDS,Ribera de Sió,idw,hg,cascade,VWC_020,total,60,-0.18004864396264442,-0.3460827767430858,-0.18004864565849665,1.6958522364163287e-09,59,-0.03054310367316171,-0.03054310381544666,-0.6982713022210272,0.7534980395770564,11.447536910316353,11.447536911448756,0.027749999999999997,-0.18004864396264442,-0.18004864396264442,11.447536910316353,11.447536910316353
RDS,Ribera de Sió,idw,hg,cascade,VWC_050,total,60,0.06262008844632858,-0.32932667921210557,0.0626200871098471,1.3364814810401526e-09,59,0.0517641604601026,0.051764160581299644,-0.6794380766354128,0.8413787675649786,11.447536910316353,11.447536911448756,0.010020833333333312,0.06262008844632858,0.06262008844632858,11.447536910316353,11.447536910316353
