code,start,end,rain_idw_mm,rain_gauge_mm
RDS,2026-08-06,2026-08-06,1.245688707688051,0.4
RDS,2026-08-14,2026-08-14,5.92384158001485,0.0
RDS,2026-08-20,2026-08-20,1.1037229540850213,2.5
CDLP,2026-08-06,2026-08-09,11.563047577464182,9.7
CDLP,2026-08-14,2026-08-14,1.8574378490764074,5.8999999999999995
CDLP,2026-08-24,2026-08-24,11.369556668344048,25.1
SCA,2026-08-06,2026-08-09,6.324945217819958,4.1000000000000005
SCA,2026-08-14,2026-08-14,1.6320920757206956,0.6000000000000001
SCA,2026-08-24,2026-08-24,25.585621413739133,40.00000000000001
CMN,2026-08-06,2026-08-09,11.189958824157218,13.2
CMN,2026-08-14,2026-08-14,1.5331410942873462,0.8999999999999999
CMN,2026-08-24,2026-08-24,9.828767555860155,15.2
EBX,2026-08-14,2026-08-16,16.68902870342776,25.8
EBX,2026-08-20,2026-08-24,24.53988721059206,42.10000000000001
EBX,2026-09-09,2026-09-09,2.699573342625581,14.500000000000002
LCS,2026-08-06,2026-08-09,15.750069377868591,10.100000000000001
LCS,2026-08-14,2026-08-14,1.813773366836643,2.0
LCS,2026-08-24,2026-08-24,7.156101773495969,5.4
PSN,2026-08-06,2026-08-08,3.414509310453275,1.2
PSN,2026-08-14,2026-08-16,11.989127809347583,6.4
PSN,2026-08-20,2026-08-20,2.3965621019983123,7.0
PSN,2026-08-24,2026-08-24,24.979698023099004,37.39999999999999
PSN,2026-09-09,2026-09-09,3.7786111447520216,6.300000000000001
BDS,2026-07-25,2026-07-25,2.1037416095555006,6.1
BDS,2026-08-11,2026-08-12,37.447268775404424,53.099999999999994
BDS,2026-08-16,2026-08-16,1.7436538610590315,6.9
BDS,2026-08-20,2026-08-20,5.947093454809295,3.4
BDS,2026-08-24,2026-08-24,3.1604092770826884,37.699999999999996
CDPA,2026-08-11,2026-08-14,27.509056085978862,66.5
CDPA,2026-08-20,2026-08-20,1.3243605087906571,4.8999999999999995
CDPA,2026-08-24,2026-08-24,10.13432575139513,11.3
CDPA,2026-09-09,2026-09-09,2.2076619205439396,3.8000000000000003
LCDA,2026-07-23,2026-07-25,4.615668960612635,1.1
LCDA,2026-08-11,2026-08-11,15.885084850015838,5.1000000000000005
LCDA,2026-08-19,2026-08-20,13.224325155036105,10.0
EML,2026-08-03,2026-08-03,8.615192535612685,11.1
EML,2026-08-07,2026-08-07,1.368734905792266,0.1
EML,2026-08-14,2026-08-15,8.172678843422476,3.2
EML,2026-09-09,2026-09-09,1.4929815410470806,0.8
BCLL,2026-08-11,2026-08-15,8.095103037680673,53.800000000000004
BCLL,2026-08-20,2026-08-20,2.759803641659255,0.2
BCLL,2026-08-24,2026-08-24,5.153626334654321,19.400000000000002
LLA,2026-07-23,2026-07-23,1.0997478472750488,0.6
LLA,2026-08-11,2026-08-11,18.606892533173742,29.3
LLA,2026-08-15,2026-08-16,10.446685510898671,12.2
LLA,2026-08-24,2026-08-24,6.7732437131007694,36.699999999999996
LLA,2026-09-09,2026-09-09,2.5775558436159627,2.7000000000000006
CLLA,2026-08-04,2026-08-07,72.40120449283285,99.50000000000001
CLLA,2026-09-09,2026-09-09,10.6352073639542,17.5
CLLP,2026-07-25,2026-07-26,7.011161559266446,1.2
CLLP,2026-08-06,2026-08-06,2.1829518292847983,0.7
CLLP,2026-08-24,2026-08-24,2.345612862473499,0.6
CLLP,2026-09-09,2026-09-09,9.279166217456963,33.3
BOLV,2026-07-23,2026-07-23,8.548932699012152,8.299999999999999
BOLV,2026-08-14,2026-08-16,24.51878423221506,20.5
BOLV,2026-08-24,2026-08-24,34.979274610827325,33.3
BOLV,2026-09-09,2026-09-09,3.3435771468151745,1.2
GGUE,2026-07-25,2026-07-26,8.932875821379083,11.6
GGUE,2026-08-06,2026-08-06,2.522740380585471,2.1999999999999997
GGUE,2026-08-16,2026-08-16,1.141297939699946,0.0
GGUE,2026-08-21,2026-08-21,12.876345117983579,25.5
GGUE,2026-09-09,2026-09-09,10.526302558002506,14.0
AGDS,2026-08-06,2026-08-06,32.92669050322672,0.4
AGDS,2026-08-10,2026-08-10,1.584198816434984,3.7
AGDS,2026-08-15,2026-08-15,18.12305382588487,1.8
AGDS,2026-08-20,2026-08-20,3.9928078562726483,12.0
TDLL,2026-08-06,2026-08-06,36.47585126651909,63.2
TDLL,2026-08-15,2026-08-15,13.353852872710696,21.900000000000002
TDLL,2026-08-20,2026-08-20,6.668264000691549,27.600000000000005
PDCE,2026-08-24,2026-08-24,3.972946267423646,4.7
VIL,2026-08-16,2026-08-16,1.2315752466996954,0.7
VIL,2026-08-24,2026-08-24,3.2684866386456948,3.5
MDF,2026-08-22,2026-08-24,57.41470071681083,64.7
