code,name,capacity_model_mm,channels,absolute_available_water_validated,absolute_blocker,station_sheet,sheet_extraction,linear_5_20_50_end_days,linear_5_20_50_mean_days,hold_20_end_days,hold_20_mean_days,blocks_10_20_end_days,blocks_10_20_mean_days,VWC_005_end_days,VWC_020_end_days,VWC_050_end_days,VWC_100_end_days,VWC_010_end_days,VWC_030_end_days,VWC_040_end_days,VWC_060_end_days,VWC_075_end_days,VWC_070_end_days,VWC_090_end_days
RDS,Ribera de Sió,43.95,VWC_005;VWC_020;VWC_050;VWC_100,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_RDS.pdf,OCR; coordinate digits require cross-check,60,60,60,60,60,60,60,60,60,60,,,,,,,
CDLP,Clot de Les Peres,52.6,VWC_005;VWC_010;VWC_020;VWC_030;VWC_040;VWC_050;VWC_060;VWC_075;VWC_100,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_CDLP.pdf,OCR; coordinate digits require cross-check,15,15,15,15,15,15,15,60,60,60,60,60,60,0,60,,
SCA,Serra de Costa Ampla,51.75,VWC_005;VWC_020;VWC_050;VWC_100,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_SCA.pdf,OCR; coordinate digits require cross-check,60,60,60,60,60,60,60,60,60,60,,,,,,,
CMN,Camí dels Nerets,52.3,VWC_005;VWC_020;VWC_050,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_CMN.pdf,OCR; coordinate digits require cross-check,60,60,60,60,60,60,60,60,60,,,,,,,,
EBX,El Boixer,47.1,VWC_005;VWC_020;VWC_050;VWC_075,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_EBX.pdf,OCR; coordinate digits require cross-check,60,60,60,60,60,60,60,60,60,,,,,,60,,
LCS,Los Coscolls,43.7,VWC_005;VWC_020;VWC_050;VWC_100,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_LCS.pdf,OCR; coordinate digits require cross-check,60,60,60,60,60,60,60,60,60,60,,,,,,,
PSN,Pessonada,47.8,VWC_005;VWC_020;VWC_050;VWC_100,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_PSN.pdf,OCR; coordinate digits require cross-check,58,58,58,58,58,58,58,58,58,58,,,,,,,
BDS,Batlliu de Sort,50.0,VWC_005;VWC_020;VWC_050,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_BDS.pdf,OCR; coordinate digits require cross-check,60,60,60,60,60,60,60,60,60,,,,,,,,
CDPA,Coll de Paller,53.05,VWC_005;VWC_020;VWC_050,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_CDPA.pdf,OCR; coordinate digits require cross-check,56,56,56,56,56,56,56,56,56,,,,,,,,
LCDA,La Cultia d'Àreu,54.35,VWC_005;VWC_020;VWC_050;VWC_100,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_LCDA.pdf,OCR; coordinate digits require cross-check,60,60,60,60,60,60,60,60,60,60,,,,,,,
EML,El Miracle,48.25,VWC_005;VWC_020;VWC_050,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_EML.pdf,OCR; coordinate digits require cross-check,60,60,60,60,60,60,60,60,60,,,,,,,,
BCLL,Borda Coll,52.95,VWC_005;VWC_020;VWC_050;VWC_100,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_BCLL.pdf,OCR; coordinate digits require cross-check,55,55,55,55,55,55,55,55,55,55,,,,,,,
LLA,Llivia,47.05,VWC_005;VWC_020;VWC_050;VWC_070,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_LLA.pdf,OCR; coordinate digits require cross-check,60,60,60,60,60,60,60,60,60,,,,,,,60,
CLLA,Clarella,53.2,VWC_005;VWC_020;VWC_050,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_CLLA.pdf,OCR; coordinate digits require cross-check,51,51,51,51,51,51,51,51,51,,,,,,,,
CLLP,Cantallops,53.55,VWC_005;VWC_020;VWC_050;VWC_100,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_CLLP.pdf,OCR; coordinate digits require cross-check,60,60,60,60,60,60,60,60,60,60,,,,,,,
BOLV,Bolvir,44.8,VWC_005;VWC_020;VWC_050;VWC_100,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_BOLV.pdf,OCR; coordinate digits require cross-check,33,33,33,33,33,33,60,33,60,60,,,,,,,
GGUE,Garriguella,57.5,VWC_005;VWC_020;VWC_050;VWC_100,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_GGUE.pdf,OCR; coordinate digits require cross-check,60,60,60,60,60,60,60,60,60,60,,,,,,,
AGDS,Aguilar de Segarra,47.75,VWC_005;VWC_020;VWC_050;VWC_100,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_AGDS.pdf,PDF text,60,60,60,60,60,60,60,60,60,60,,,,,,,
TDLL,Torre del Lluvià,49.2,VWC_005;VWC_020;VWC_050;VWC_100,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_TDLL.pdf,OCR; coordinate digits require cross-check,60,60,60,60,60,60,60,60,60,60,,,,,,,
PDCE,Pobla de Cérvoles,45.6,VWC_005;VWC_020;VWC_050;VWC_090,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_PDCE.pdf,PDF text,60,60,60,60,60,60,60,60,60,,,,,,,,60
VIL,Vilosell,45.7,VWC_005;VWC_020;VWC_050;VWC_075,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_VIL.pdf,PDF text,60,60,60,60,60,60,60,60,60,,,,,,60,,
MDF,Mas dels Frares,53.3,VWC_005;VWC_020;VWC_050;VWC_100,False,volumetric_FC_WP_full_profile_and_probe_calibration_not_confirmed,https://datacloud.icgc.cat/datacloud/descarregues-web/bd/sols/xms_cat_MDF.pdf,PDF text,60,60,60,60,60,60,60,60,60,60,,,,,,,
