observation_id,species_id,observed_at,analysis_result,flush_abundance,month,season,validation_status,calibration_use,source_quality,latitude,longitude,altitude_m,weather_method,weather_source,weather_station_code,weather_station_name,weather_station_distance_km,weather_station_coverage_days_90d,weather_summary_window_days,rain_1d_mm,rain_7d_mm,rain_14d_mm,rain_21d_mm,rain_30d_mm,rain_60d_mm,rain_90d_mm,temp_min_7d_c,temp_max_7d_c,temp_mean_7d_c,temp_min_14d_c,temp_max_14d_c,temp_mean_14d_c,temp_min_21d_c,temp_max_21d_c,temp_mean_21d_c,temp_min_30d_c,temp_max_30d_c,temp_mean_30d_c,temp_min_c,temp_max_c,temp_mean_c,humidity_min_7d_pct,humidity_max_7d_pct,humidity_mean_7d_pct,humidity_min_14d_pct,humidity_max_14d_pct,humidity_mean_14d_pct,humidity_min_21d_pct,humidity_max_21d_pct,humidity_mean_21d_pct,humidity_min_30d_pct,humidity_max_30d_pct,humidity_mean_30d_pct,humidity_min_pct,humidity_max_pct,humidity_mean_pct,wind_avg_kmh,wind_gust_kmh,wind_direction_deg,data_gaps,observed_host_ids,observed_forest_type_ids,observed_soil_tendency_ids,observed_habitat_feature_ids,observed_aspect_ids
obs_20250729_0002,boletus_aereus,2025-07-29,present,abundant,7,summer,valid,include,1,42.05962777777778,1.9291222222222222,638.1,nearest_station_single_source_daily,wunderground,IOLVAN3,Sainlogic pro,1.16,90,7,0.0,66.03,74.41,147.82,166.87,178.81,267.71,10.61,27.72,19.25,10.61,33.22,21.83,10.61,33.22,21.94,10.61,37.78,22.6,10.61,27.72,19.25,37.0,98.0,72.64,31.0,98.0,69.46,31.0,98.0,70.31,24.0,98.0,67.98,37.0,98.0,72.64,,,,wind_no_data_7d,,,,,
obs_20250801_0002,boletus_aereus,2025-08-01,present,abundant,8,summer,valid,include,1,42.06725,1.9464444444444444,761.7,nearest_station_single_source_daily,wunderground,IOLVAN3,Sainlogic pro,1.39,90,7,0.0,0.25,73.9,132.07,154.17,175.51,262.88,10.61,28.11,20.42,10.61,30.89,20.83,10.61,33.22,21.7,10.61,33.89,22.08,10.61,28.11,20.42,37.0,96.0,68.36,31.0,98.0,70.14,31.0,98.0,69.57,31.0,98.0,69.05,37.0,96.0,68.36,,,,wind_no_data_7d,,,,,
obs_20250805_0002,boletus_aereus,2025-08-05,present,abundant,8,summer,valid,include,1,42.06723055555556,1.9465222222222223,761.9,nearest_station_single_source_daily,wunderground,IOLVAN3,Sainlogic pro,1.4,90,7,0.0,0.0,66.03,74.41,148.33,175.51,212.84,12.89,32.72,22.19,10.61,32.72,20.72,10.61,33.22,21.95,10.61,33.22,21.97,12.89,32.72,22.19,40.0,94.0,68.0,37.0,98.0,70.32,31.0,98.0,68.98,31.0,98.0,69.28,40.0,94.0,68.0,,,,wind_no_data_7d,,,,,
obs_20250806_0002,boletus_aereus,2025-08-06,present,abundant,8,summer,valid,include,1,42.01236388888889,1.9703472222222222,619.9,nearest_station_single_source_daily,wunderground,ISANTA1715,Estació 1 Cal Costet,3.17,67,7,0.0,0.0,17.78,33.53,77.22,108.96,108.96,14.44,33.56,23.62,10.83,33.56,22.12,10.83,34.22,22.87,10.83,34.22,23.03,14.44,33.56,23.62,34.0,99.0,68.43,32.0,99.0,69.32,26.0,99.0,69.98,26.0,99.0,70.2,34.0,99.0,68.43,,,,"rain_90d_coverage_67/90,wind_no_data_7d",,,,,
obs_20250801_0003,amanita_caesarea,2025-08-01,present,scarce,8,summer,valid,include,1,42.06725,1.9464444444444444,761.7,nearest_station_single_source_daily,wunderground,IOLVAN3,Sainlogic pro,1.39,90,7,0.0,0.25,73.9,132.07,154.17,175.51,262.88,10.61,28.11,20.42,10.61,30.89,20.83,10.61,33.22,21.7,10.61,33.89,22.08,10.61,28.11,20.42,37.0,96.0,68.36,31.0,98.0,70.14,31.0,98.0,69.57,31.0,98.0,69.05,37.0,96.0,68.36,,,,wind_no_data_7d,host_quercus_ilex,,,,
obs_20250805_0003,amanita_caesarea,2025-08-05,present,abundant,8,summer,valid,include,1,42.06723055555556,1.9465222222222223,761.9,nearest_station_single_source_daily,wunderground,IOLVAN3,Sainlogic pro,1.4,90,7,0.0,0.0,66.03,74.41,148.33,175.51,212.84,12.89,32.72,22.19,10.61,32.72,20.72,10.61,33.22,21.95,10.61,33.22,21.97,12.89,32.72,22.19,40.0,94.0,68.0,37.0,98.0,70.32,31.0,98.0,68.98,31.0,98.0,69.28,40.0,94.0,68.0,,,,wind_no_data_7d,host_quercus_ilex,forest_holm_oak,"soil_acidic,soil_slightly_acidic",feature_open_warm_woodland,aspect_S
obs_20250806_0003,amanita_caesarea,2025-08-06,present,normal,8,summer,valid,include,1,42.01236388888889,1.9703472222222222,619.9,nearest_station_single_source_daily,wunderground,ISANTA1715,Estació 1 Cal Costet,3.17,67,7,0.0,0.0,17.78,33.53,77.22,108.96,108.96,14.44,33.56,23.62,10.83,33.56,22.12,10.83,34.22,22.87,10.83,34.22,23.03,14.44,33.56,23.62,34.0,99.0,68.43,32.0,99.0,69.32,26.0,99.0,69.98,26.0,99.0,70.2,34.0,99.0,68.43,,,,"rain_90d_coverage_67/90,wind_no_data_7d",host_quercus_ilex,forest_holm_oak,soil_slightly_acidic,feature_open_warm_woodland,aspect_S
obs_20250729_0003,amanita_caesarea,2025-07-29,present,normal,7,summer,valid,include,1,42.05962777777778,1.9291222222222222,638.1,nearest_station_single_source_daily,wunderground,IOLVAN3,Sainlogic pro,1.16,90,7,0.0,66.03,74.41,147.82,166.87,178.81,267.71,10.61,27.72,19.25,10.61,33.22,21.83,10.61,33.22,21.94,10.61,37.78,22.6,10.61,27.72,19.25,37.0,98.0,72.64,31.0,98.0,69.46,31.0,98.0,70.31,24.0,98.0,67.98,37.0,98.0,72.64,,,,wind_no_data_7d,host_quercus_ilex,,,,
obs_20250725_0001,boletus_pinophilus,2025-07-25,present,normal,7,summer,valid,include,1,42.46129166666667,1.8455222222222223,1873.7,nearest_station_single_source_daily,wunderground,IGUILS1,GUILS17528,3.09,85,7,0.0,50.53,85.84,102.6,189.72,276.84,362.2,7.89,27.28,17.17,7.89,32.89,18.67,7.0,32.89,18.67,7.0,32.89,19.53,7.89,27.28,17.17,31.0,99.0,70.21,24.0,99.0,68.11,24.0,99.0,68.1,24.0,99.0,66.0,31.0,99.0,70.21,,,,"rain_90d_coverage_85/90,wind_no_data_7d",host_pinus_uncinata,,,,
obs_20250709_0001,boletus_pinophilus,2025-07-09,present,very_scarce,7,summer,valid,include,1,42.45877777777778,1.803738888888889,2222.1,nearest_station_single_source_daily,meteocat,Z3,Malniu (2.230 m),2.22,82,7,0.0,12.1,26.3,39.0,39.0,95.1,152.1,4.7,21.4,12.61,4.7,23.7,14.3,4.7,23.7,14.74,4.7,23.7,14.77,4.7,21.4,12.61,26.0,93.0,69.64,24.0,96.0,67.04,17.0,96.0,60.45,17.0,96.0,59.67,26.0,93.0,69.64,,,,"rain_60d_coverage_56/60,rain_90d_coverage_82/90,wind_no_data_7d",host_pinus_uncinata,,,,
